Time (hours),Normalized reqs/sec
8.864111498,5.73638268
8.947735192,3.855282419
9.031358885,3.946471366
9.114982578,3.58159909
9.198606272,1.554639282
9.282229965,23.78307122
9.365853659,11.97229983
9.449477352,24.17478866
9.533101045,3.45200749
9.616724739,3.99482512
9.700348432,3.625267914
9.783972125,7.361257663
9.867595819,4.919407985
9.951219512,4.489810301
10.03484321,4.53278099
10.1184669,2.663977376
10.20209059,5.205123186
10.28571429,14.46846287
10.36933798,4.3083877
10.45296167,6.070782747
10.53658537,2.57479273
10.62020906,3.041041598
10.70383275,3.772936372
10.78745645,3.110084636
10.87108014,6.282031062
10.95470383,3.738769451
11.03832753,2.495918569
11.12195122,9.202788309
11.20557491,2.652946704
11.28919861,5.366833844
11.3728223,23.94051819
11.45644599,19.5750349
11.54006969,19.65077099
11.62369338,13.55735649
11.70731707,3.913401199
11.79094077,5.099999724
11.87456446,27.2109642
11.95818815,34.56576889
12.04181185,64.87165978
12.12543554,56.54318167
12.20905923,77.55056273
12.29268293,93.87089589
12.37630662,89.52139213
12.45993031,70.00458533
12.54355401,40.86595851
12.6271777,4.0441723
12.71080139,2.916052778
12.79442509,3.918669664
12.87804878,3.985511026
12.96167247,2.878326877
13.04529617,5.71395005
13.12891986,15.76056908
13.21254355,2.354144568
13.29616725,4.384985919
13.37979094,2.592217394
13.46341463,19.40191586
13.54703833,4.936742649
13.63066202,2.761466548
13.71428571,4.722191573
13.79790941,4.117073622
13.8815331,4.566881775
13.96515679,5.748040129
14.04878049,3.39372932
14.13240418,2.835042052
14.21602787,14.40875279
14.29965157,2.766821035
14.38327526,3.578680306
14.46689895,4.038351605
14.55052265,35.98577191
14.63414634,27.32233187
14.71777003,76.17672925
14.80139373,39.58710494
14.88501742,34.43832885
14.96864111,19.14520327
15.05226481,4.351041143
15.1358885,2.721379346
15.2195122,2.486479279
15.30313589,4.193666317
15.38675958,3.417825809
15.47038328,4.448121489
15.55400697,4.183517051
15.63763066,3.583376217
15.72125436,2.732769464
15.80487805,47.3516646
15.88850174,31.63743612
15.97212544,100
16.05574913,29.35945971
16.13937282,28.48775052
16.22299652,3.853747206
16.30662021,4.086890494
16.3902439,2.692035508
16.4738676,3.832364771
16.55749129,19.44344888
16.64111498,2.407263967
16.72473868,4.056634312
16.80836237,4.279733294
16.89198606,21.44899663
16.97560976,21.30694852
17.05923345,2.149323797
17.14285714,20.36366213
17.22648084,22.4366363
17.31010453,19.39462714
17.39372822,4.229467358
17.47735192,21.89191867
17.56097561,15.46426194
17.6445993,4.911432168
17.728223,4.711888909
17.81184669,21.96371406
17.89547038,3.316928205
17.97909408,23.76711677
18.06271777,22.19353874
18.14634146,46.74137077
18.22996516,17.19751165
18.31358885,17.93082262
18.39721254,6.207284897
18.48083624,1.611245694
18.56445993,4.417634199
18.64808362,1.891001789
18.73170732,3.144752051
18.81533101,4.860201065
18.8989547,3.734062375
18.9825784,2.478948451
19.06620209,2.877280285
19.14982578,4.410312008
19.23344948,18.02727222
19.31707317,3.901310444
19.40069686,17.12160791
19.48432056,2.947291879
19.56794425,6.0196654
19.65156794,4.360109941
19.73519164,16.45774426
19.81881533,3.868334993
19.90243902,2.936097081
19.98606272,19.62027244
20.06968641,2.792416832
20.1533101,3.53731879
20.2369338,45.65165722
20.32055749,19.52501099
20.40418118,83.63548481
20.48780488,34.36156809
20.57142857,69.26611741
20.65505226,25.47540646
20.73867596,23.40790227
20.82229965,16.0146074
20.90592334,14.14714504
20.98954704,4.672170344
21.07317073,23.43358498
21.15679443,26.74199021
21.24041812,45.77142467
21.32404181,43.24564799
21.40766551,28.57492145
21.4912892,2.885670511
21.57491289,15.65431516
21.65853659,4.514759293
21.74216028,2.64469716
21.82578397,3.597997159
21.90940767,0.101182838
21.99303136,18.83979502
22.07665505,16.3909687
22.16027875,2.292071976
22.24390244,5.457478027
22.32752613,17.03839718
22.41114983,20.9840038
22.49477352,20.43901747
22.57839721,47.99948917
22.66202091,27.6193851
22.7456446,29.88963309
22.82926829,3.674663411
22.91289199,2.584714371
22.99651568,4.17128034
23.08013937,3.882188623
23.16376307,3.003763603
23.24738676,17.84428679
23.33101045,3.239947703
23.41463415,3.788175433
23.49825784,4.391115255
23.58188153,5.40648932
23.66550523,13.51308279
23.74912892,6.007674251
23.83275261,1.518023519
23.91637631,3.49660139
24,4.3099924
